 0, 1
 0, 3
 3, 4
 3, 6
 6, 7
 6, 0
 9, 10
 9, 3
 12, 13
 12, 6
 15, 16
 15, 0
 18, 19
 18, 3
 21, 22
 21, 6
 24, 25
 24, 0
 27, 28
 27, 3
 30, 31
 30, 6
 1, 2
 1, 4
 4, 5
 4, 7
 7, 8
 7, 1
 10, 11
 10, 4
 13, 14
 13, 7
 16, 17
 16, 1
 19, 20
 19, 4
 22, 23
 22, 7
 25, 26
 25, 1
 28, 29
 28, 4
 31, 32
 31, 7
 2, 0
 2, 5
 5, 3
 5, 8
 8, 6
 8, 2
 11, 9
 11, 5
 14, 12
 14, 8
 17, 15
 17, 2
 20, 18
 20, 5
 23, 21
 23, 8
 26, 24
 26, 2
 29, 27
 29, 5
 32, 30
 32, 8
 3, 1
 3, 3
 6, 4
 6, 6
 9, 7
 9, 0
 12, 10
 12, 3
 15, 13
 15, 6
 18, 16
 18, 0
 21, 19
 21, 3
 24, 22
 24, 6
 27, 25
 27, 0
 30, 28
 30, 3
 33, 31
 33, 6
 4, 2
 4, 4
 7, 5
 7, 7
 10, 8
 10, 1
 13, 11
 13, 4
 16, 14
 16, 7
 19, 17
 19, 1
 22, 20
 22, 4
 25, 23
 25, 7
 28, 26
 28, 1
 31, 29
 31, 4
 34, 32
 34, 7
 5, 0
 5, 5
 8, 3
 8, 8
 11, 6
 11, 2
 14, 9
 14, 5
 17, 12
 17, 8
 20, 15
 20, 2
 23, 18
 23, 5
 26, 21
 26, 8
 29, 24
 29, 2
 32, 27
 32, 5
 35, 30
 35, 8
 6, 1
 6, 3
 9, 4
 9, 6
 12, 7
 12, 0
 15, 10
 15, 3
 18, 13
 18, 6
 21, 16
 21, 0
 24, 19
 24, 3
 27, 22
 27, 6
 30, 25
 30, 0
 33, 28
 33, 3
 36, 31
 36, 6
 7, 2
 7, 4
 10, 5
 10, 7
 13, 8
 13, 1
 16, 11
 16, 4
 19, 14
 19, 7
 22, 17
 22, 1
 25, 20
 25, 4
 28, 23
 28, 7
 31, 26
 31, 1
 34, 29
 34, 4
 37, 32
 37, 7
 8, 0
 8, 5
 11, 3
 11, 8
 14, 6
 14, 2
 17, 9
 17, 5
 20, 12
 20, 8
 23, 15
 23, 2
 26, 18
 26, 5
 29, 21
 29, 8
 32, 24
 32, 2
 35, 27
 35, 5
 38, 30
 38, 8
 9, 1
 9, 3
 12, 4
 12, 6
 15, 7
 15, 0
 18, 10
 18, 3
 21, 13
 21, 6
 24, 16
 24, 0
 27, 19
 27, 3
 30, 22
 30, 6
 33, 25
 33, 0
 36, 28
 36, 3
 39, 31
 39, 6
 10, 2
 10, 4
 13, 5
 13, 7
 16, 8
 16, 1
 19, 11
 19, 4
 22, 14
 22, 7
 25, 17
 25, 1
 28, 20
 28, 4
 31, 23
 31, 7
 34, 26
 34, 1
 37, 29
 37, 4
 40, 32
 40, 7
